Цех,Артикул продукции,Продукция,Дата,Артикул материала,Материал
555,330012233733,1259,2023-01-25,1230060,38.4
522,330012233722,505,2023-01-26,12300109,35.6
522,330012233790,998,2023-01-26,12300109,35.6
522,330012233880,511,2023-01-26,12300109,35.6
544,330012233601,651,2023-01-26,12300217,13.2
522,330012233636,1358,2023-01-26,12300109,35.6
522,330012233876,1383,2023-01-26,12300109,35.6
522,330012233485,444,2023-01-26,12300109,35.6
522,330012233708,2457,2023-01-26,12300109,35.6
522,330012233649,165,2023-01-26,12300109,35.6
544,330012233579,1954,2023-01-26,12300217,13.2
522,330012233682,286,2023-01-26,12300109,35.6
544,330012233844,939,2023-01-26,12300217,13.2
522,330012233715,189,2023-01-26,12300109,35.6
544,330012233536,351,2023-01-26,12300217,13.2
522,330012233615,882,2023-01-26,12300109,35.6
544,330012233802,1215,2023-01-26,12300217,13.2
522,330012233737,1979,2023-01-26,12300109,35.6
522,330012233856,1037,2023-01-26,12300109,35.6
522,330012233974,1456,2023-01-26,12300109,35.6
544,330012233781,1961,2023-01-26,12300217,13.2
522,330012233954,613,2023-01-26,12300109,35.6
544,330012233908,739,2023-01-27,1230033,17.333333333333332
544,330012233661,454,2023-01-27,1230033,17.333333333333332
544,330012233744,998,2023-01-27,1230033,17.333333333333332
544,330012233751,1571,2023-01-27,1230033,17.333333333333332
544,330012233798,1957,2023-01-27,1230033,17.333333333333332
544,330012233737,404,2023-01-27,1230033,17.333333333333332
544,330012233416,1905,2023-01-27,1230033,17.333333333333332
544,330012233567,1545,2023-01-27,1230033,17.333333333333332
544,330012233771,217,2023-01-27,1230033,17.333333333333332
544,330012233853,1385,2023-01-27,1230033,17.333333333333332
544,330012233762,205,2023-01-27,1230033,17.333333333333332
544,330012233415,1044,2023-01-27,1230033,17.333333333333332
511,330012233421,1227,2023-01-28,12300155,48.0
511,330012233570,346,2023-01-28,12300155,48.0
511,330012233597,673,2023-01-28,12300155,48.0
511,330012233686,125,2023-01-28,12300155,48.0
511,330012233423,330,2023-01-28,12300155,48.0
511,330012233776,1762,2023-01-28,12300155,48.0
522,330012233456,2354,2023-01-29,1230041,14.666666666666666
555,330012233551,320,2023-01-29,1230086,97.5
555,330012233687,1050,2023-01-29,1230086,97.5
522,330012233532,650,2023-01-29,1230041,14.666666666666666
555,330012233819,286,2023-01-29,1230086,97.5
555,330012233688,1630,2023-01-29,1230086,97.5
555,330012233648,1656,2023-01-29,1230086,97.5
522,330012233601,264,2023-01-29,1230041,14.666666666666666
555,330012233503,264,2023-01-29,1230086,97.5
522,330012233553,590,2023-01-29,1230041,14.666666666666666
522,330012233677,230,2023-01-29,1230041,14.666666666666666
555,330012233712,1391,2023-01-29,1230086,97.5
522,330012233682,545,2023-01-29,1230041,14.666666666666666
522,330012233605,458,2023-01-29,1230041,14.666666666666666
522,330012233476,1350,2023-01-29,1230041,14.666666666666666
522,330012233535,1135,2023-01-29,1230041,14.666666666666666
522,330012233630,525,2023-01-29,1230041,14.666666666666666
555,330012233819,1449,2023-01-29,1230086,97.5
522,330012233699,897,2023-01-29,1230041,14.666666666666666
555,330012233652,424,2023-01-29,1230086,97.5
522,330012233576,157,2023-01-31,12300119,98.0
522,330012233652,681,2023-01-31,12300119,98.0
522,330012233574,778,2023-01-31,12300119,98.0
522,330012233710,749,2023-01-31,12300119,98.0
522,330012233460,1380,2023-01-31,12300119,98.0
522,330012233447,364,2023-01-31,12300119,98.0
555,330012233417,1239,2023-02-03,12300237,30.0
555,330012233525,834,2023-02-03,12300237,30.0
555,330012233506,348,2023-02-03,12300237,30.0
555,330012233550,1226,2023-02-03,12300237,30.0
555,330012233413,1115,2023-02-03,12300237,30.0
555,330012233483,1093,2023-02-03,12300237,30.0
555,330012233557,143,2023-02-03,12300237,30.0
555,330012233581,562,2023-02-03,12300237,30.0
555,330012233576,1495,2023-02-03,12300237,30.0
555,330012233505,252,2023-02-03,12300237,30.0
555,330012233577,978,2023-02-03,12300237,30.0
544,330012233538,2316,2023-02-04,1230072,23.6
544,330012233419,1220,2023-02-04,1230072,23.6
544,330012233419,1220,2023-02-04,12300197,237.0
544,330012233490,600,2023-02-04,1230072,23.6
544,330012233490,600,2023-02-04,12300197,237.0
544,330012233538,2316,2023-02-04,12300197,237.0
544,330012233427,2215,2023-02-04,12300197,237.0
544,330012233510,184,2023-02-04,12300197,237.0
544,330012233525,201,2023-02-04,1230072,23.6
544,330012233525,201,2023-02-04,12300197,237.0
544,330012233440,715,2023-02-04,1230072,23.6
544,330012233440,715,2023-02-04,12300197,237.0
544,330012233510,184,2023-02-04,1230072,23.6
544,330012233427,2215,2023-02-04,1230072,23.6
544,330012233489,439,2023-02-04,12300197,237.0
544,330012233459,279,2023-02-04,1230072,23.6
544,330012233441,1265,2023-02-04,12300197,237.0
544,330012233555,1622,2023-02-04,1230072,23.6
544,330012233555,1622,2023-02-04,12300197,237.0
544,330012233437,627,2023-02-04,1230072,23.6
544,330012233437,627,2023-02-04,12300197,237.0
544,330012233442,792,2023-02-04,1230072,23.6
544,330012233459,279,2023-02-04,12300197,237.0
544,330012233489,439,2023-02-04,1230072,23.6
544,330012233441,1265,2023-02-04,1230072,23.6
544,330012233462,901,2023-02-04,1230072,23.6
544,330012233462,901,2023-02-04,12300197,237.0
544,330012233427,1330,2023-02-04,1230072,23.6
544,330012233427,1330,2023-02-04,12300197,237.0
544,330012233442,792,2023-02-04,12300197,237.0
533,330012233441,735,2023-02-06,1230070,6.666666666666667
533,330012233442,510,2023-02-06,1230070,6.666666666666667
533,330012233419,353,2023-02-06,1230070,6.666666666666667
533,330012233422,1372,2023-02-06,1230070,6.666666666666667
533,330012233451,1476,2023-02-06,1230070,6.666666666666667
533,330012233451,1250,2023-02-06,1230070,6.666666666666667
533,330012233426,631,2023-02-06,1230070,6.666666666666667
533,330012233418,1030,2023-02-06,1230070,6.666666666666667
533,330012233424,694,2023-02-06,1230070,6.666666666666667
533,330012233449,361,2023-02-06,1230070,6.666666666666667
533,330012233435,398,2023-02-06,1230070,6.666666666666667
533,330012233446,561,2023-02-06,1230070,6.666666666666667
533,330012233450,273,2023-02-06,1230070,6.666666666666667
533,330012233426,223,2023-02-06,1230070,6.666666666666667
533,330012233438,309,2023-02-06,1230070,6.666666666666667
533,330012233456,949,2023-02-06,1230070,6.666666666666667
533,330012233454,293,2023-02-06,1230070,6.666666666666667
533,330012233428,2110,2023-02-06,1230070,6.666666666666667
522,330012233951,1064,2023-02-08,12300164,36.0
522,330012233982,1752,2023-02-08,1230063,366.0
522,330012233982,1752,2023-02-08,12300286,25.666666666666668
522,330012233982,1752,2023-02-08,12300164,36.0
522,330012233614,842,2023-02-08,1230063,366.0
522,330012233614,842,2023-02-08,12300286,25.666666666666668
533,330012233536,751,2023-02-08,12300210,44.0
533,330012233536,751,2023-02-08,12300240,492.0
533,330012233536,751,2023-02-08,12300153,30.0
533,330012233877,792,2023-02-08,12300240,492.0
533,330012233877,792,2023-02-08,12300153,30.0
533,330012233877,792,2023-02-08,12300210,44.0
522,330012233951,1064,2023-02-08,12300286,25.666666666666668
522,330012233614,842,2023-02-08,12300164,36.0
522,330012233951,1064,2023-02-08,1230063,366.0
544,330012233836,1603,2023-02-08,12300224,16.333333333333332
533,330012234058,140,2023-02-08,12300153,30.0
544,330012233705,614,2023-02-08,12300224,16.333333333333332
533,330012233877,1672,2023-02-08,12300240,492.0
533,330012233877,1672,2023-02-08,12300153,30.0
533,330012233877,1672,2023-02-08,12300210,44.0
522,330012233579,163,2023-02-08,1230063,366.0
522,330012233579,163,2023-02-08,12300286,25.666666666666668
533,330012234058,140,2023-02-08,12300210,44.0
522,330012233579,163,2023-02-08,12300164,36.0
522,330012233770,1526,2023-02-08,12300286,25.666666666666668
522,330012233770,1526,2023-02-08,12300164,36.0
522,330012233530,248,2023-02-08,1230063,366.0
522,330012233530,248,2023-02-08,12300286,25.666666666666668
522,330012233530,248,2023-02-08,12300164,36.0
533,330012234058,140,2023-02-08,12300240,492.0
522,330012233770,1526,2023-02-08,1230063,366.0
533,330012233913,409,2023-02-08,12300240,492.0
533,330012233460,2308,2023-02-08,12300153,30.0
533,330012233913,409,2023-02-08,12300210,44.0
522,330012233766,346,2023-02-08,1230063,366.0
533,330012233913,409,2023-02-08,12300153,30.0
522,330012233766,346,2023-02-08,12300164,36.0
533,330012233558,1020,2023-02-08,12300240,492.0
533,330012233558,1020,2023-02-08,12300153,30.0
533,330012233558,1020,2023-02-08,12300210,44.0
522,330012233798,268,2023-02-08,12300164,36.0
544,330012233820,307,2023-02-08,12300224,16.333333333333332
522,330012233456,1334,2023-02-08,1230063,366.0
522,330012233456,1334,2023-02-08,12300286,25.666666666666668
522,330012233456,1334,2023-02-08,12300164,36.0
522,330012233539,1598,2023-02-08,1230063,366.0
522,330012233539,1598,2023-02-08,12300286,25.666666666666668
522,330012233539,1598,2023-02-08,12300164,36.0
544,330012233419,2244,2023-02-08,12300224,16.333333333333332
522,330012233798,268,2023-02-08,12300286,25.666666666666668
522,330012233766,346,2023-02-08,12300286,25.666666666666668
522,330012234068,1106,2023-02-08,12300164,36.0
533,330012233511,1040,2023-02-08,12300240,492.0
533,330012233511,1040,2023-02-08,12300153,30.0
533,330012233511,1040,2023-02-08,12300210,44.0
522,330012233798,268,2023-02-08,1230063,366.0
533,330012233507,1024,2023-02-08,12300153,30.0
533,330012233507,1024,2023-02-08,12300210,44.0
533,330012233990,860,2023-02-08,12300240,492.0
533,330012233507,1024,2023-02-08,12300240,492.0
533,330012233990,860,2023-02-08,12300210,44.0
533,330012233460,2308,2023-02-08,12300240,492.0
533,330012233460,2308,2023-02-08,12300210,44.0
522,330012234068,1106,2023-02-08,1230063,366.0
522,330012234068,1106,2023-02-08,12300286,25.666666666666668
533,330012233990,860,2023-02-08,12300153,30.0
511,330012233789,221,2023-02-09,12300106,26.0
533,330012233646,775,2023-02-09,12300141,27.0
533,330012233691,234,2023-02-09,12300141,27.0
511,330012233566,571,2023-02-09,12300106,26.0
533,330012233781,205,2023-02-09,12300141,27.0
511,330012233508,403,2023-02-09,12300106,26.0
511,330012233604,985,2023-02-09,12300106,26.0
533,330012233744,502,2023-02-09,12300141,27.0
511,330012233959,539,2023-02-09,12300106,26.0
511,330012233434,437,2023-02-09,12300106,26.0
511,330012233452,1230,2023-02-09,12300106,26.0
511,330012233708,2429,2023-02-09,12300106,26.0
